District,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
31,6,2015,All Students,4257,304,1197,28.1,1479,34.7,783,18.4,798,18.7,1581,37.1
31,6,2016,All Students,4111,306,1042,25.3,1448,35.2,731,17.8,890,21.6,1621,39.4
31,6,2017,All Students,4097,305,1120,27.3,1253,30.6,832,20.3,892,21.8,1724,42.1
31,6,2018,All Students,4250,600,1223,28.8,1102,25.9,1043,24.5,882,20.8,1925,45.3
31,6,2019,All Students,4303,601,1280,29.7,954,22.2,986,22.9,1083,25.2,2069,48.1
31,7,2013,All Students,4296,301,1515,35.3,1538,35.8,932,21.7,311,7.2,1243,28.9
31,7,2014,All Students,4110,307,1304,31.7,1320,32.1,967,23.5,519,12.6,1486,36.2
31,7,2015,All Students,4191,308,1209,28.8,1407,33.6,1015,24.2,560,13.4,1575,37.6
31,7,2016,All Students,4172,308,1295,31.0,1295,31.0,922,22.1,660,15.8,1582,37.9
31,7,2017,All Students,4070,308,1286,31.6,1190,29.2,998,24.5,596,14.6,1594,39.2
31,7,2018,All Students,4092,601,1258,30.7,1037,25.3,929,22.7,868,21.2,1797,43.9
31,7,2019,All Students,4269,602,1217,28.5,1113,26.1,979,22.9,960,22.5,1939,45.4
31,8,2013,All Students,4224,302,1209,28.6,1791,42.4,890,21.1,334,7.9,1224,29.0
31,8,2014,All Students,3845,300,1152,30.0,1586,41.2,860,22.4,247,6.4,1107,28.8
31,8,2015,All Students,3320,297,1158,34.9,1331,40.1,612,18.4,219,6.6,831,25.0
31,8,2016,All Students,3268,296,1160,35.5,1260,38.6,599,18.3,249,7.6,848,25.9
31,8,2017,All Students,3324,295,1221,36.7,1263,38.0,600,18.1,240,7.2,840,25.3
31,8,2018,All Students,3522,603,1139,32.3,993,28.2,747,21.2,643,18.3,1390,39.5
31,8,2019,All Students,3310,604,1025,31.0,862,26.0,756,22.8,667,20.2,1423,43.0
31,All Grades,2013,All Students,26606,303,7922,29.8,9720,36.5,5946,22.3,3018,11.3,8964,33.7
31,All Grades,2014,All Students,26045,306,7133,27.4,8692,33.4,6366,24.4,3854,14.8,10220,39.2
31,All Grades,2015,All Students,25339,305,7048,27.8,8491,33.5,5844,23.1,3956,15.6,9800,38.7
31,All Grades,2016,All Students,25219,306,7081,28.1,8127,32.2,5594,22.2,4417,17.5,10011,39.7
31,All Grades,2017,All Students,25366,306,7200,28.4,7673,30.2,5998,23.6,4495,17.7,10493,41.4
31,All Grades,2018,All Students,25590,601,7215,28.2,6465,25.3,6213,24.3,5697,22.3,11910,46.5
31,All Grades,2019,All Students,25426,602,6643,26.1,6220,24.5,6223,24.5,6340,24.9,12563,49.4
32,3,2013,All Students,1275,285,578,45.3,488,38.3,160,12.5,49,3.8,209,16.4
32,3,2014,All Students,1119,291,451,40.3,388,34.7,206,18.4,74,6.6,280,25.0
32,3,2015,All Students,1057,290,456,43.1,353,33.4,170,16.1,78,7.4,248,23.5
32,3,2016,All Students,993,290,379,38.2,387,39.0,156,15.7,71,7.2,227,22.9
32,3,2017,All Students,907,295,326,35.9,286,31.5,177,19.5,118,13.0,295,32.5
32,3,2018,All Students,790,594,291,36.8,180,22.8,200,25.3,119,15.1,319,40.4
32,3,2019,All Students,768,593,270,35.2,196,25.5,185,24.1,117,15.2,302,39.3
32,4,2013,All Students,1164,287,496,42.6,441,37.9,182,15.6,45,3.9,227,19.5
32,4,2014,All Students,1175,287,508,43.2,422,35.9,166,14.1,79,6.7,245,20.9
32,4,2015,All Students,1052,287,436,41.4,380,36.1,166,15.8,70,6.7,236,22.4
32,4,2016,All Students,995,288,428,43.0,314,31.6,183,18.4,70,7.0,253,25.4
32,4,2017,All Students,938,290,379,40.4,303,32.3,155,16.5,101,10.8,256,27.3
32,4,2018,All Students,825,593,292,35.4,283,34.3,141,17.1,109,13.2,250,30.3
32,4,2019,All Students,783,593,263,33.6,258,33.0,169,21.6,93,11.9,262,33.5
32,5,2013,All Students,1202,289,649,54.0,369,30.7,155,12.9,29,2.4,184,15.3
32,5,2014,All Students,1133,299,438,38.7,397,35.0,219,19.3,79,7.0,298,26.3
32,5,2015,All Students,1082,296,477,44.1,336,31.1,202,18.7,67,6.2,269,24.9
32,5,2016,All Students,1007,290,495,49.2,325,32.3,152,15.1,35,3.5,187,18.6
32,5,2017,All Students,955,294,450,47.1,243,25.4,197,20.6,65,6.8,262,27.4
