school_dist_code,dbn,school_name,zipcode,Rate
32,32K545,EBC High School for Public Service-Bushwick,11221,2
2,02M399,The High School For Language and Diplomacy,10003,3
11,11X288,Collegiate Institute for Math and Science (CIMS),10469,4
1,01M696,Bard High School Early College,10002,9
21,21K620,William E. Grady Career and Technical Education High School,11235,2
17,17K531,The School for Human Rights,11203,3
2,02M605,Humanities Preparatory Academy,10011,3
22,22K611,Origins High School,11235,3
2,02M392,Manhattan Business Academy,10011,4
10,10X546,Bronx Theatre High School,10463,2
3,03M859,Special Music School,10023,9
18,18K567,Brooklyn Theatre Arts High School,11236,3
12,12X478,The Cinema School,10472,3
13,13K595,Bedford Academy High School,11216,8
2,02M418,Millennium High School,10004,10
10,10X243,West Bronx Academy for the Future,10458,4
8,08X293,Renaissance High School for Musical Theater and the Arts,10461,3
12,12X267,Bronx Latin,10456,5
3,03M860,Frederick Douglass Academy II Secondary School,10026,3
4,04M435,Manhattan Center for Science and Mathematics,10029,7
17,17K600,Clara Barton High School,11225,3
11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,10466,2
18,18K563,It Takes a Village Academy,11203,5
5,05M369,Urban Assembly School for the Performing Arts,10027,2
3,03M479,Beacon High School,10036,10
3,03M307,The Urban Assembly School for Media Studies,10023,3
28,28Q284,York Early College Academy,11433,8
10,10X264,Bronx Academy for Software Engineering (BASE),10458,3
25,25Q252,"Queens School of Inquiry, The",11366,6
25,25Q241,Queens High School for Language Studies,11354,5
2,02M408,Professional Performing Arts High School (PPAS),10036,7
28,28Q328,High School for Community Leadership,11432,6
13,13K605,George Westinghouse Career and Technical Education High School,11201,3
11,11X275,High School of Computers and Technology,10467,4
30,30Q450,Long Island City High School,11106,2
2,02M298,Pace High School,10002,4
19,19K764,The Urban Assembly School for Collaborative Healthcare,11208,2
2,02M580,Richard R. Green High School of Teaching,10004,4
12,12X388,Pan American International High School at Monroe,10472,3
1,01M539,"New Explorations into Science, Technology and Math High School (NEST+m)",10002,9
2,02M427,Manhattan Academy for Arts & Language,10016,2
28,28Q690,High School for Law Enforcement and Public Safety,11434,3
23,23K647,Metropolitan Diploma Plus High School,11212,3
2,02M376,NYC iSchool,10013,9
9,09X568,Young Women's Leadership School of the Bronx (TYWLS),10453,6
22,22K405,Midwood High School,11210,6
10,10X524,Crotona International High School,10458,1
8,08X320,Pelham Lab High School,10461,2
2,02M414,N.Y.C. Museum School,10011,8
29,29Q327,Eagle Academy for Young Men III,11434,3
24,24Q610,Aviation Career & Technical Education High School,11101,7
2,02M500,Unity Center for Urban Technologies,10016,3
19,19K618,Academy of Innovative Technology,11208,3
2,02M419,Landmark High School,10011,2
20,20K609,Urban Assembly School for Criminal Justice,11204,7
13,13K670,Benjamin Banneker Academy,11205,4
9,09X231,Eagle Academy for Young Men,10457,2
28,28Q325,Hillside Arts & Letters Academy,11432,4
11,11X265,Bronx Lab School,10467,2
19,19K659,Cypress Hills Collegiate Preparatory School,11208,3
15,15K464,Park Slope Collegiate,11215,3
28,28Q896,"Young Women's Leadership School, Queens (TYWLS)",11432,7
14,14K488,Brooklyn Preparatory High School,11211,4
14,14K558,Williamsburg High School for Architecture and Design,11211,5
8,08X559,School for Tourism and Hospitality,10456,1
17,17K537,High School for Youth and Community Development at Erasmus,11226,2
26,26Q415,Benjamin N. Cardozo High School,11364,5
