,Region,curr_price,sqft,1yr,2yr,3yr,4yr,5yr,Neighborhood,Median Price Per Sq Foot,,
208,Dongan Hills,530573,1387,541216.5422,551997.5136,562849.1328,573737.0696,584643.6761,,,Dongan Hills,$1.39 
156,Downtown,683130,1937,639385.4928,583369.7038,520373.0214,450395.5755,373437.3628,,,Downtown Brooklyn,$5.11 
213,DUMBO,1647680,1537,1686145.888,1732121.596,1778565.124,1825037.794,1871512.279,,,DUMBO,$6.37 
73,Dyker Heights,950360,1475,974033.2084,1000588.108,1027385.812,1054203.975,1081023.861,,,Dyker Heights,$1.82 
34,East Elmhurst,647400,1492,664008.0102,679962.4048,695690.7083,711340.8051,726963.8495,,,,
13,East Flatbush,593686,1955,612022.381,627661.466,642340.4006,656677.5526,670893.0409,,,East Flatbush,$2.43 
2,East New York,495710,1279,509132.5896,522238.1034,535327.674,548416.443,561505.1717,,,East New York,$2.80 
77,East Tremont,226203,1425,230541.5754,235292.3119,240067.5191,244844.179,249620.9253,,,,
30,East Village,928588,3637,957731.7541,982791.7798,1007851.805,1032911.831,1057971.857,,,East Village,$5.71 
169,Eastchester,465848,1748,479063.4038,489257.3975,498643.9787,507814.7947,516927.9516,,,Eastchester,$2.07 
218,Elm Park,383865,1949,389073.9265,397045.3591,405452.2225,413927.7192,422414.034,,,,
18,Elmhurst,395681,1469,401810.5812,410213.6765,419210.1518,428361.4975,437553.2638,,,Elmhurst,$2.34 
106,Eltingville,566523,1511,576366.0538,588058.6092,600395.3991,612956.5945,625595.9566,,,Eltingville,$1.45 
147,Emerson Hill,666755,3153,677431.8288,691155.8319,705893.1579,720967.4596,736153.8208,,,,
27,Far Rockaway,500448,1710,509774.9174,516757.9234,522423.6774,527349.1502,531858.5933,,,,
205,Fieldston,533349,3076,528352.547,515220.2286,499301.7197,480743.7377,459550.3063,,,,
89,Financial District,1356260,1998,1158692,961124,763556,565988,368420,,,,
7,Flatbush,580081,1641,589083.5867,604444.8627,620800.4488,637311.5155,653846.8947,,,,
95,Flatiron District,1278486,1594,1193537.871,1078667.086,940012.6989,777846.0614,592179.1681,,,,
40,Flatlands,552506,1489,564672.4423,577408.3336,590310.6281,603261.5486,616226.6785,,,,
146,Floral Park,664716,1352,676687.2265,688723.5034,700787.1142,712862.2106,724942.1331,,,,
24,Flushing,471439,1644,482647.5512,495389.595,508389.8805,521433.6541,534484.7512,,,,
28,Forest Hills,390010,1903,398827.9921,409320.1929,420010.2531,430723.6965,441439.9033,Far Rockaway,$2.30 ,,
211,Forest Hills Gardens,1591181,1824,1638315.602,1684131.445,1729884.03,1775633.581,1821382.986,Financial District,$5.66 ,,
68,Fort Greene,736894,2462,749306.2479,770890.6288,792691.4366,814497.3513,836303.3865,Flatbush,$2.70 ,,
92,Fort Hamilton,440431,1780,452526.9662,465330.4094,478145.9557,490961.709,503777.4659,Flatiron District,$7.10 ,,
229,Fort Wadsworth,599433,1903,615267.0151,633097.2373,651011.8641,668930.0597,686848.4061,Flatlands,$2.10 ,,
103,Fresh Meadows,894234,1583,915460.2469,939119.5504,963249.6717,987470.9004,1011709.759,Flushing,$2.50 ,,
203,Garment District,1129374,1747,1113184.158,1067110.985,1009506.006,943422.8151,869369.5113,Fordham Heights,$2.28 ,,
173,Georgetown,578587,1699,593335.2947,608083.5895,622831.8842,637580.1789,652328.4737,Fordham Manor,$1.80 ,,
199,Gerritsen Beach,526087,1292,541721.126,555326.9479,568508.9078,581602.2918,594677.1658,Forest Hills,$2.44 ,,
142,Glen Oaks,360242,1243,368099.3835,376384.7122,384671.3133,392957.9182,401244.5231,Fort Greene,$5.19 ,,
80,Glendale,687200,1400,702119.9216,717554.3811,733195.8953,748918.9024,764673.9836,Fort Hamilton,$2.12 ,,
118,Gowanus,1204119,1656,1226798.014,1260831.403,1296602.43,1332639.379,1368717.023,Fort Wadsworth,$1.35 ,,
41,Gramercy,769719,1522,788552.6586,811052.5349,833590.109,856128.0707,878666.0364,Fresh Meadows,$2.60 ,,
158,Graniteville,397656,1820,401860.9125,408163.2394,415256.2543,422647.3443,430150.8035,Garment District,$5.43 ,,
179,Grant City,565004,1277,575231.796,587191.8134,599839.7287,612760.8211,625790.3974,Glendale,$2.06 ,,
35,Gravesend,740189,1321,761788.2849,784344.4202,806932.075,829520.7681,852109.4954,Gowanus,$4.07 ,,
102,Great Kills,550259,1402,561424.8922,574617.7068,588268.1121,602021.8213,615798.8521,Gramercy Park,$5.59 ,,
78,Greenpoint,1053106,1713,1070712.56,1094093.461,1120302.742,1147897.415,1176170.679,Grant City,$1.23 ,,
174,Greenridge,484570,1799,494157.4179,505208.8377,516679.1398,528269.2931,539893.7385,Grasmere,$1.63 ,,
55,Greenwich Village,1107031,1667,1117713.085,1147036.366,1176391.36,1205746.407,1235101.455,Gravesend,$2.10 ,,
123,Green-Wood Cemetery,990651,1650,1018174.659,1048847.897,1079746.631,1110661.51,1141577.544,Great Kills,$1.55 ,,
182,Grymes Hill,590840,2054,601709.7897,614161.5728,627262.3868,640629.4731,654105.8006,Greenpoint,$3.83 ,,
51,Hamilton Heights,664470,1676,678493.572,692264.384,706035.1869,719805.9898,733576.7928,Greenridge,$1.52 ,,
10,Harlem,755510,1638,782920.9023,810331.8047,837742.707,865153.6093,892564.5116,Greenwich Village,$6.96 ,,
111,Heartland Village,413969,1706,419941.2388,427697.9788,436136.5561,444835.6557,453634.2979,Greenwood Heights,$2.91 ,,
134,Hillcrest,800703,1470,817653.7375,836375.3981,855654.5516,875109.2057,894619.1081,Grymes Hill,$2.85 ,,
